case_index,source_name,source_path,family_hint,resolution_N,amplitude_hat,delta_E_hat,base_energy_hat,delta_E_over_abs_base,energy_signal_valid,frequency_hat,omega_hat,fft_bin_index,frequency_window_limited,frequency_auto_extended,effective_t_final_hat,spectral_power,cycles,period_cv,harmonic_r2,pod_discovery_fraction,epsilon_RE,mesh_cv_plus,mesh_cv_minus,dt_hat_min,dt_hat_max,n_steps,normalization_L_hat,normalization_Gamma_hat,core_fraction_hat,temporal_frequency_rel_change
1,carrier1,synthetic,synthetic,96,0.003,6.321033261781968e-06,2.0,3.160516630890984e-06,True,1.332672,8.373425129689634,3,False,False,6.002977476828507,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
1,carrier1,synthetic,synthetic,96,0.004,1.1276139814539497e-05,2.0,5.638069907269748e-06,True,1.332672,8.373425129689634,3,False,False,6.002977476828507,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
1,carrier1,synthetic,synthetic,96,0.006,2.5286760520142395e-05,2.0,1.2643380260071197e-05,True,1.332672,8.373425129689634,3,False,False,6.002977476828507,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
1,carrier1,synthetic,synthetic,128,0.002,2.792588851065694e-06,2.0,1.396294425532847e-06,True,1.32,8.293804605477055,3,False,False,6.0606060606060606,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
1,carrier1,synthetic,synthetic,128,0.003,6.327404301054143e-06,2.0,3.1637021505270716e-06,True,1.32,8.293804605477055,3,False,False,6.0606060606060606,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
1,carrier1,synthetic,synthetic,128,0.004,1.1205952976569846e-05,2.0,5.602976488284923e-06,True,1.32,8.293804605477055,3,False,False,6.0606060606060606,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
1,carrier1,synthetic,synthetic,128,0.006,2.5179582278708357e-05,2.0,1.2589791139354179e-05,True,1.32,8.293804605477055,3,False,False,6.0606060606060606,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
2,carrier2,synthetic,synthetic,64,0.002,2.8288482980009305e-06,2.0,1.4144241490004652e-06,True,1.467648,9.221504349711505,3,False,False,5.450898308041165,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
2,carrier2,synthetic,synthetic,64,0.003,6.326070079716891e-06,2.0,3.1630350398584456e-06,True,1.467648,9.221504349711505,3,False,False,5.450898308041165,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
2,carrier2,synthetic,synthetic,64,0.004,1.1175579085686311e-05,2.0,5.587789542843156e-06,True,1.467648,9.221504349711505,3,False,False,5.450898308041165,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
2,carrier2,synthetic,synthetic,64,0.006,2.519691515896519e-05,2.0,1.2598457579482595e-05,True,1.467648,9.221504349711505,3,False,False,5.450898308041165,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
2,carrier2,synthetic,synthetic,96,0.002,2.8337916258386095e-06,2.0,1.4168958129193048e-06,True,1.453824,9.134645596025054,3,False,False,5.502729353759465,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
2,carrier2,synthetic,synthetic,96,0.003,6.2938402535965534e-06,2.0,3.1469201267982767e-06,True,1.453824,9.134645596025054,3,False,False,5.502729353759465,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
2,carrier2,synthetic,synthetic,96,0.004,1.1244665530381982e-05,2.0,5.622332765190991e-06,True,1.453824,9.134645596025054,3,False,False,5.502729353759465,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
2,carrier2,synthetic,synthetic,96,0.006,2.5285863109935258e-05,2.0,1.2642931554967629e-05,True,1.453824,9.134645596025054,3,False,False,5.502729353759465,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
2,carrier2,synthetic,synthetic,128,0.002,2.808011364452445e-06,2.0,1.4040056822262225e-06,True,1.44,9.047786842338605,3,False,False,5.555555555555555,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
2,carrier2,synthetic,synthetic,128,0.003,6.320464003641881e-06,2.0,3.1602320018209407e-06,True,1.44,9.047786842338605,3,False,False,5.555555555555555,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
2,carrier2,synthetic,synthetic,128,0.004,1.1175814990707849e-05,2.0,5.587907495353924e-06,True,1.44,9.047786842338605,3,False,False,5.555555555555555,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
2,carrier2,synthetic,synthetic,128,0.006,2.5147957416647873e-05,2.0,1.2573978708323936e-05,True,1.44,9.047786842338605,3,False,False,5.555555555555555,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
3,carrier3,synthetic,synthetic,64,0.002,2.7985095117069763e-06,2.0,1.3992547558534882e-06,True,1.5899520000000003,9.989963045520799,3,False,False,5.031598438191844,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
3,carrier3,synthetic,synthetic,64,0.003,6.290336980669135e-06,2.0,3.1451684903345677e-06,True,1.5899520000000003,9.989963045520799,3,False,False,5.031598438191844,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
3,carrier3,synthetic,synthetic,64,0.004,1.1248926198325937e-05,2.0,5.6244630991629685e-06,True,1.5899520000000003,9.989963045520799,3,False,False,5.031598438191844,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
3,carrier3,synthetic,synthetic,64,0.006,2.54039112494454e-05,2.0,1.27019556247227e-05,True,1.5899520000000003,9.989963045520799,3,False,False,5.031598438191844,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
3,carrier3,synthetic,synthetic,96,0.002,2.7881718387818757e-06,2.0,1.3940859193909379e-06,True,1.5749760000000002,9.895866062360477,3,False,False,5.079442480393351,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
3,carrier3,synthetic,synthetic,96,0.003,6.319203533305066e-06,2.0,3.159601766652533e-06,True,1.5749760000000002,9.895866062360477,3,False,False,5.079442480393351,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
3,carrier3,synthetic,synthetic,96,0.004,1.1147502861565605e-05,2.0,5.5737514307828025e-06,True,1.5749760000000002,9.895866062360477,3,False,False,5.079442480393351,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
3,carrier3,synthetic,synthetic,96,0.006,2.5118668865914897e-05,2.0,1.2559334432957448e-05,True,1.5749760000000002,9.895866062360477,3,False,False,5.079442480393351,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
3,carrier3,synthetic,synthetic,128,0.002,2.7973925106980596e-06,2.0,1.3986962553490298e-06,True,1.56,9.801769079200154,3,False,False,5.128205128205128,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
3,carrier3,synthetic,synthetic,128,0.003,6.305199813386007e-06,2.0,3.1525999066930034e-06,True,1.56,9.801769079200154,3,False,False,5.128205128205128,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
3,carrier3,synthetic,synthetic,128,0.004,1.1178279389923195e-05,2.0,5.589139694961597e-06,True,1.56,9.801769079200154,3,False,False,5.128205128205128,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
3,carrier3,synthetic,synthetic,128,0.006,2.4873855624273337e-05,2.0,1.2436927812136669e-05,True,1.56,9.801769079200154,3,False,False,5.128205128205128,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
