opaque_id,anon_carrier_id,row_status,error_code,resolution_N,amplitude_hat,delta_E_hat,base_energy_hat,delta_E_over_abs_base,energy_signal_valid,frequency_hat,omega_hat,fft_bin_index,fft_bin_width_hat,frequency_window_limited,frequency_certified,frequency_certification_status,frequency_extension_rounds,frequency_horizon_factor,effective_t_final_hat,spectral_power,cycles,period_cv,harmonic_r2,mode_discovery_valid,mode_normal_fraction,mode_pod_power_fraction,epsilon_RE,epsilon_RE_perp,epsilon_RE_full,normal_velocity_fraction,mesh_cv_plus,mesh_cv_minus,mesh_edge_ratio_plus,mesh_edge_ratio_minus,adaptive_reparams_plus,adaptive_reparams_minus,dt_hat_min,dt_hat_max,n_steps,normalization_L_hat,normalization_Gamma_hat,core_fraction_hat,matched_energy_frequency_same_frozen_mode,temporal_frequency_rel_change,temporal_frequency_resolved
Q_fa741afa25e22e12,C_4ad4e816114c,OK,,128,0.003,0.4439393947985969,2.0,0.22196969739929845,True,1.2,7.5398223686155035,3,0.1,False,True,RESOLVED,0,1.0,6.666666666666667,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_163da074b18a3b2a,C_4ad4e816114c,OK,,96,0.002,0.4522192859152069,2.0,0.22610964295760344,True,1.21152,7.612204663354212,3,0.1,False,True,RESOLVED,0,1.0,6.603275224511358,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_c36944cd685d302e,C_efc97b262d02,OK,,64,0.002,0.5909369123145813,2.0,0.29546845615729067,True,1.5899520000000003,9.989963045520799,3,0.1,False,True,RESOLVED,0,1.0,5.031598438191844,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_c04edbc0221a8e90,C_56535ea7b08a,OK,,96,0.002,0.49894104107603066,2.0,0.24947052053801533,True,1.332672,8.373425129689634,3,0.1,False,True,RESOLVED,0,1.0,6.002977476828507,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_9dbeebfcc14d8b1d,C_56535ea7b08a,OK,,128,0.004,0.49102165986078977,2.0,0.24551082993039489,True,1.32,8.293804605477055,3,0.1,False,True,RESOLVED,0,1.0,6.0606060606060606,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_bedb302ad8258c18,C_56535ea7b08a,OK,,64,0.002,0.5015540985690544,2.0,0.2507770492845272,True,1.345344,8.453045653902214,3,0.1,False,True,RESOLVED,0,1.0,5.946434517863089,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_10245e59ba6c1817,C_efc97b262d02,OK,,128,0.002,0.5796195432713792,2.0,0.2898097716356896,True,1.56,9.801769079200154,3,0.1,False,True,RESOLVED,0,1.0,5.128205128205128,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_24407f5f6db9dd87,C_4ad4e816114c,OK,,128,0.004,0.4437408427155293,2.0,0.22187042135776466,True,1.2,7.5398223686155035,3,0.1,False,True,RESOLVED,0,1.0,6.666666666666667,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_5a6d2531184d68bf,C_4dbebc8e3b51,OK,,64,0.002,0.550210586344092,2.0,0.275105293172046,True,1.467648,9.221504349711505,3,0.1,False,True,RESOLVED,0,1.0,5.450898308041165,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_1e8c39cd7dc0bfc5,C_efc97b262d02,OK,,96,0.004,0.5834242201668453,2.0,0.2917121100834226,True,1.5749760000000002,9.895866062360477,3,0.1,False,True,RESOLVED,0,1.0,5.079442480393351,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_83aa2a16732e2a7d,C_4ad4e816114c,OK,,96,0.006,0.45372538978740506,2.0,0.22686269489370253,True,1.21152,7.612204663354212,3,0.1,False,True,RESOLVED,0,1.0,6.603275224511358,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_12676b5f4380702a,C_56535ea7b08a,OK,,96,0.004,0.49821970467759724,2.0,0.24910985233879862,True,1.332672,8.373425129689634,3,0.1,False,True,RESOLVED,0,1.0,6.002977476828507,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_8cbbd5a79b6a31de,C_4ad4e816114c,OK,,96,0.003,0.45059612985153835,2.0,0.22529806492576918,True,1.21152,7.612204663354212,3,0.1,False,True,RESOLVED,0,1.0,6.603275224511358,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_cbcdbbbcc2f2646b,C_4ad4e816114c,OK,,128,0.002,0.4453107927170377,2.0,0.22265539635851886,True,1.2,7.5398223686155035,3,0.1,False,True,RESOLVED,0,1.0,6.666666666666667,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_7b732048e5b66a2e,C_efc97b262d02,OK,,64,0.004,0.5932547161293461,2.0,0.29662735806467305,True,1.5899520000000003,9.989963045520799,3,0.1,False,True,RESOLVED,0,1.0,5.031598438191844,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_414dabdaae4aae1f,C_4dbebc8e3b51,OK,,64,0.006,0.5456591781095534,2.0,0.2728295890547767,True,1.467648,9.221504349711505,3,0.1,False,True,RESOLVED,0,1.0,5.450898308041165,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_3aa4483e03092016,C_4ad4e816114c,OK,,96,0.004,0.44998246952110477,2.0,0.22499123476055238,True,1.21152,7.612204663354212,3,0.1,False,True,RESOLVED,0,1.0,6.603275224511358,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_407b18e19f5522ad,C_56535ea7b08a,OK,,128,0.003,0.4925209455386813,2.0,0.24626047276934065,True,1.32,8.293804605477055,3,0.1,False,True,RESOLVED,0,1.0,6.0606060606060606,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_c15bac93644ea44f,C_56535ea7b08a,OK,,64,0.003,0.5019418070138548,2.0,0.2509709035069274,True,1.345344,8.453045653902214,3,0.1,False,True,RESOLVED,0,1.0,5.946434517863089,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_7511d1a8b99f6466,C_4dbebc8e3b51,OK,,96,0.003,0.5401496398809447,2.0,0.27007481994047233,True,1.453824,9.134645596025054,3,0.1,False,True,RESOLVED,0,1.0,5.502729353759465,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_8dcdfd2d0f827370,C_4dbebc8e3b51,OK,,96,0.006,0.542045969746379,2.0,0.2710229848731895,True,1.453824,9.134645596025054,3,0.1,False,True,RESOLVED,0,1.0,5.502729353759465,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_a44baf461d22b6fb,C_4dbebc8e3b51,OK,,64,0.004,0.544760706176414,2.0,0.272380353088207,True,1.467648,9.221504349711505,3,0.1,False,True,RESOLVED,0,1.0,5.450898308041165,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_72765b463bcd6620,C_efc97b262d02,OK,,96,0.003,0.5870482366430975,2.0,0.29352411832154873,True,1.5749760000000002,9.895866062360477,3,0.1,False,True,RESOLVED,0,1.0,5.079442480393351,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_3198638c2797fa45,C_4dbebc8e3b51,OK,,64,0.003,0.5475191947052821,2.0,0.27375959735264105,True,1.467648,9.221504349711505,3,0.1,False,True,RESOLVED,0,1.0,5.450898308041165,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_8b1378ebcd5c3ea0,C_4dbebc8e3b51,OK,,128,0.006,0.5345477079002214,2.0,0.2672738539501107,True,1.44,9.047786842338605,3,0.1,False,True,RESOLVED,0,1.0,5.555555555555555,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_b9e1710fb2204d82,C_efc97b262d02,OK,,96,0.006,0.584108139522679,2.0,0.2920540697613395,True,1.5749760000000002,9.895866062360477,3,0.1,False,True,RESOLVED,0,1.0,5.079442480393351,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_42887f4a220756b7,C_4dbebc8e3b51,OK,,128,0.003,0.5368236963741537,2.0,0.26841184818707686,True,1.44,9.047786842338605,3,0.1,False,True,RESOLVED,0,1.0,5.555555555555555,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_e751c51d5b4c027f,C_efc97b262d02,OK,,128,0.006,0.5740459468868951,2.0,0.28702297344344757,True,1.56,9.801769079200154,3,0.1,False,True,RESOLVED,0,1.0,5.128205128205128,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_04c6d99ee73eb7a8,C_efc97b262d02,OK,,128,0.003,0.5804346845066971,2.0,0.29021734225334855,True,1.56,9.801769079200154,3,0.1,False,True,RESOLVED,0,1.0,5.128205128205128,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_33ef47d3b29c3046,C_4dbebc8e3b51,OK,,96,0.004,0.5422971099930426,2.0,0.2711485549965213,True,1.453824,9.134645596025054,3,0.1,False,True,RESOLVED,0,1.0,5.502729353759465,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_adc5ca4ed34130e6,C_4ad4e816114c,OK,,64,0.002,0.4521316599157441,2.0,0.22606582995787206,True,1.2230400000000001,7.684586958092922,3,0.1,False,True,RESOLVED,0,1.0,6.541077969649398,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_94cc808f34a84623,C_56535ea7b08a,OK,,128,0.006,0.4904948240563935,2.0,0.24524741202819675,True,1.32,8.293804605477055,3,0.1,False,True,RESOLVED,0,1.0,6.0606060606060606,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_67f97f0909512256,C_56535ea7b08a,OK,,64,0.006,0.5039430869810617,2.0,0.25197154349053086,True,1.345344,8.453045653902214,3,0.1,False,True,RESOLVED,0,1.0,5.946434517863089,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_f249a6d6c302872f,C_56535ea7b08a,OK,,128,0.002,0.4897736777298721,2.0,0.24488683886493606,True,1.32,8.293804605477055,3,0.1,False,True,RESOLVED,0,1.0,6.0606060606060606,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_7d9c2ed258f8037e,C_4ad4e816114c,OK,,64,0.003,0.455184159569236,2.0,0.227592079784618,True,1.2230400000000001,7.684586958092922,3,0.1,False,True,RESOLVED,0,1.0,6.541077969649398,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_70cb7e09b70b1ad6,C_56535ea7b08a,OK,,64,0.004,0.5025153864144013,2.0,0.25125769320720065,True,1.345344,8.453045653902214,3,0.1,False,True,RESOLVED,0,1.0,5.946434517863089,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_8025354347136edb,C_4ad4e816114c,OK,,128,0.006,0.445254607390413,2.0,0.2226273036952065,True,1.2,7.5398223686155035,3,0.1,False,True,RESOLVED,0,1.0,6.666666666666667,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_e01bb293623d8a65,C_4dbebc8e3b51,OK,,96,0.002,0.5457915624588812,2.0,0.2728957812294406,True,1.453824,9.134645596025054,3,0.1,False,True,RESOLVED,0,1.0,5.502729353759465,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
