case_index,source_name,source_path,family_hint,resolution_N,amplitude,delta_E_J,base_energy_J,delta_E_over_abs_base,energy_signal_valid,frequency_Hz,omega_rad_s,frequency_dimless,spectral_power,cycles,period_cv,harmonic_r2,pod_discovery_fraction,epsilon_RE,mesh_cv_plus,mesh_cv_minus,dt,n_steps,L_phys_m,Gamma_phys_m2_s,rho_energy_kg_m3,temporal_frequency_rel_change
0,carrier0,synthetic,synthetic,128,0.004,4.767017582262892e-19,1e-12,4.7670175822628924e-07,True,1.2e+20,7.539822368615503e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,128,0.006,1.0771589910233082e-18,1e-12,1.0771589910233083e-06,True,1.2e+20,7.539822368615503e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,64,0.002,1.2039507199767422e-19,1e-12,1.2039507199767422e-07,True,1.3453440000000003e+20,8.453045653902215e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,64,0.003,2.7115049143192344e-19,1e-12,2.7115049143192346e-07,True,1.3453440000000003e+20,8.453045653902215e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,64,0.004,4.827332878774399e-19,1e-12,4.827332878774399e-07,True,1.3453440000000003e+20,8.453045653902215e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,64,0.006,1.0900028662696861e-18,1e-12,1.0900028662696861e-06,True,1.3453440000000003e+20,8.453045653902215e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,96,0.002,1.210341390295771e-19,1e-12,1.210341390295771e-07,True,1.3326720000000002e+20,8.373425129689635e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,96,0.003,2.7090142550494147e-19,1e-12,2.709014255049415e-07,True,1.3326720000000002e+20,8.373425129689635e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,96,0.004,4.832631349088356e-19,1e-12,4.832631349088355e-07,True,1.3326720000000002e+20,8.373425129689635e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,96,0.006,1.0837183080061025e-18,1e-12,1.0837183080061025e-06,True,1.3326720000000002e+20,8.373425129689635e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,128,0.002,1.1968237933138687e-19,1e-12,1.1968237933138687e-07,True,1.3200000000000002e+20,8.293804605477055e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,128,0.003,2.711744700451776e-19,1e-12,2.711744700451776e-07,True,1.3200000000000002e+20,8.293804605477055e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,128,0.004,4.802551275672791e-19,1e-12,4.802551275672791e-07,True,1.3200000000000002e+20,8.293804605477055e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,128,0.006,1.079124954801787e-18,1e-12,1.0791249548017868e-06,True,1.3200000000000002e+20,8.293804605477055e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,64,0.002,1.212363556286113e-19,1e-12,1.212363556286113e-07,True,1.4676480000000002e+20,9.221504349711506e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,64,0.003,2.7111728913072394e-19,1e-12,2.7111728913072394e-07,True,1.4676480000000002e+20,9.221504349711506e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,64,0.004,4.789533893865561e-19,1e-12,4.789533893865562e-07,True,1.4676480000000002e+20,9.221504349711506e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,64,0.006,1.0798677925270795e-18,1e-12,1.0798677925270795e-06,True,1.4676480000000002e+20,9.221504349711506e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,96,0.002,1.2144821253594042e-19,1e-12,1.2144821253594042e-07,True,1.453824e+20,9.134645596025055e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,96,0.003,2.6973601086842375e-19,1e-12,2.6973601086842377e-07,True,1.453824e+20,9.134645596025055e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,96,0.004,4.819142370163706e-19,1e-12,4.819142370163706e-07,True,1.453824e+20,9.134645596025055e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,96,0.006,1.083679847568654e-18,1e-12,1.083679847568654e-06,True,1.453824e+20,9.134645596025055e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,128,0.002,1.2034334419081907e-19,1e-12,1.2034334419081906e-07,True,1.44e+20,9.047786842338604e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,128,0.003,2.708770287275092e-19,1e-12,2.708770287275092e-07,True,1.44e+20,9.047786842338604e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,128,0.004,4.789634996017649e-19,1e-12,4.789634996017649e-07,True,1.44e+20,9.047786842338604e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,128,0.006,1.0777696035706233e-18,1e-12,1.0777696035706233e-06,True,1.44e+20,9.047786842338604e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,64,0.002,1.1993612193029897e-19,1e-12,1.1993612193029897e-07,True,1.5899520000000003e+20,9.989963045520799e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,64,0.003,2.695858706001058e-19,1e-12,2.695858706001058e-07,True,1.5899520000000003e+20,9.989963045520799e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,64,0.004,4.820968370711115e-19,1e-12,4.820968370711116e-07,True,1.5899520000000003e+20,9.989963045520799e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,64,0.006,1.0887390535476601e-18,1e-12,1.0887390535476601e-06,True,1.5899520000000003e+20,9.989963045520799e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,96,0.002,1.194930788049375e-19,1e-12,1.1949307880493752e-07,True,1.574976e+20,9.895866062360476e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,96,0.003,2.7082300857021716e-19,1e-12,2.7082300857021717e-07,True,1.574976e+20,9.895866062360476e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,96,0.004,4.77750122638526e-19,1e-12,4.77750122638526e-07,True,1.574976e+20,9.895866062360476e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,96,0.006,1.0765143799677814e-18,1e-12,1.0765143799677815e-06,True,1.574976e+20,9.895866062360476e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,128,0.002,1.1988825045848825e-19,1e-12,1.1988825045848824e-07,True,1.56e+20,9.801769079200155e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,128,0.003,2.7022284914511457e-19,1e-12,2.702228491451146e-07,True,1.56e+20,9.801769079200155e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,128,0.004,4.79069116710994e-19,1e-12,4.79069116710994e-07,True,1.56e+20,9.801769079200155e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,128,0.006,1.0660223838974289e-18,1e-12,1.066022383897429e-06,True,1.56e+20,9.801769079200155e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
