case_index,source_name,source_path,family_hint,resolution_N,amplitude,delta_E_J,base_energy_J,delta_E_over_abs_base,energy_signal_valid,frequency_Hz,omega_rad_s,frequency_dimless,spectral_power,cycles,period_cv,harmonic_r2,pod_discovery_fraction,epsilon_RE,mesh_cv_plus,mesh_cv_minus,dt,n_steps,L_phys_m,Gamma_phys_m2_s,rho_energy_kg_m3,temporal_frequency_rel_change
0,carrier0,synthetic,synthetic,128,0.004,7.907575417271464e-14,1e-12,0.07907575417271465,True,1.2e+20,7.539822368615503e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,128,0.006,7.93455109130992e-14,1e-12,0.0793455109130992,True,1.2e+20,7.539822368615503e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,64,0.002,8.937822437090722e-14,1e-12,0.08937822437090723,True,1.3453440000000003e+20,8.453045653902215e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,64,0.003,8.944731500832547e-14,1e-12,0.08944731500832548,True,1.3453440000000003e+20,8.453045653902215e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,64,0.004,8.954952832589745e-14,1e-12,0.08954952832589745,True,1.3453440000000003e+20,8.453045653902215e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,64,0.006,8.980394822186783e-14,1e-12,0.08980394822186782,True,1.3453440000000003e+20,8.453045653902215e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,96,0.002,8.891257083608042e-14,1e-12,0.08891257083608042,True,1.3326720000000002e+20,8.373425129689635e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,96,0.003,8.853963131061534e-14,1e-12,0.08853963131061533,True,1.3326720000000002e+20,8.373425129689635e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,96,0.004,8.878402684321898e-14,1e-12,0.08878402684321898,True,1.3326720000000002e+20,8.373425129689635e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,96,0.006,8.854699689166951e-14,1e-12,0.0885469968916695,True,1.3326720000000002e+20,8.373425129689635e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,128,0.002,8.72789232188438e-14,1e-12,0.08727892321884381,True,1.3200000000000002e+20,8.293804605477055e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,128,0.003,8.776849337552933e-14,1e-12,0.08776849337552933,True,1.3200000000000002e+20,8.293804605477055e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,128,0.004,8.750131682947579e-14,1e-12,0.08750131682947579,True,1.3200000000000002e+20,8.293804605477055e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
1,carrier1,synthetic,synthetic,128,0.006,8.740743334040392e-14,1e-12,0.08740743334040392,True,1.3200000000000002e+20,8.293804605477055e+20,1,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1000,3.15e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,64,0.002,9.804893505568666e-14,1e-12,0.09804893505568665,True,1.4676480000000002e+20,9.221504349711506e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,64,0.003,9.756932217554103e-14,1e-12,0.09756932217554103,True,1.4676480000000002e+20,9.221504349711506e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,64,0.004,9.707775245781538e-14,1e-12,0.09707775245781539,True,1.4676480000000002e+20,9.221504349711506e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,64,0.006,9.723786245643807e-14,1e-12,0.09723786245643806,True,1.4676480000000002e+20,9.221504349711506e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,96,0.002,9.726145368639944e-14,1e-12,0.09726145368639944,True,1.453824e+20,9.134645596025055e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,96,0.003,9.625604863938103e-14,1e-12,0.09625604863938103,True,1.453824e+20,9.134645596025055e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,96,0.004,9.663873331099773e-14,1e-12,0.09663873331099773,True,1.453824e+20,9.134645596025055e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,96,0.006,9.659397947610951e-14,1e-12,0.09659397947610951,True,1.453824e+20,9.134645596025055e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,128,0.002,9.563381233862037e-14,1e-12,0.09563381233862038,True,1.44e+20,9.047786842338604e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,128,0.003,9.566335699187374e-14,1e-12,0.09566335699187374,True,1.44e+20,9.047786842338604e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,128,0.004,9.525057997561899e-14,1e-12,0.09525057997561899,True,1.44e+20,9.047786842338604e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
2,carrier2,synthetic,synthetic,128,0.006,9.525777001916415e-14,1e-12,0.09525777001916415,True,1.44e+20,9.047786842338604e+20,1,0.85,8,0.03,0.95,0.8,0.022,0.03,0.03,1e-05,1000,3.3e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,64,0.002,1.0530647060524799e-13,1e-12,0.10530647060524799,True,1.5899520000000003e+20,9.989963045520799e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,64,0.003,1.0522206350810338e-13,1e-12,0.10522206350810338,True,1.5899520000000003e+20,9.989963045520799e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,64,0.004,1.057195091787435e-13,1e-12,0.1057195091787435,True,1.5899520000000003e+20,9.989963045520799e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,64,0.006,1.0603331335781542e-13,1e-12,0.10603331335781542,True,1.5899520000000003e+20,9.989963045520799e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,96,0.002,1.0400633596300104e-13,1e-12,0.10400633596300105,True,1.574976e+20,9.895866062360476e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,96,0.003,1.0461349864536734e-13,1e-12,0.10461349864536734,True,1.574976e+20,9.895866062360476e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,96,0.004,1.0396768963161897e-13,1e-12,0.10396768963161897,True,1.574976e+20,9.895866062360476e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,96,0.006,1.0408956581169947e-13,1e-12,0.10408956581169948,True,1.574976e+20,9.895866062360476e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,128,0.002,1.0328968646866614e-13,1e-12,0.10328968646866614,True,1.56e+20,9.801769079200155e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,128,0.003,1.0343494672360589e-13,1e-12,0.1034349467236059,True,1.56e+20,9.801769079200155e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,128,0.004,1.0320632379266517e-13,1e-12,0.10320632379266517,True,1.56e+20,9.801769079200155e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
3,carrier3,synthetic,synthetic,128,0.006,1.0229645732423975e-13,1e-12,0.10229645732423975,True,1.56e+20,9.801769079200155e+20,1,0.85,8,0.03,0.95,0.8,0.023,0.03,0.03,1e-05,1000,3.45e-14,1e-08,7e-07,0.002
