opaque_id,anon_carrier_id,row_status,error_code,resolution_N,amplitude_hat,delta_E_hat,base_energy_hat,delta_E_over_abs_base,energy_signal_valid,frequency_hat,omega_hat,fft_bin_index,fft_bin_width_hat,frequency_window_limited,frequency_certified,frequency_certification_status,frequency_extension_rounds,frequency_horizon_factor,effective_t_final_hat,spectral_power,cycles,period_cv,harmonic_r2,mode_discovery_valid,mode_normal_fraction,mode_pod_power_fraction,epsilon_RE,epsilon_RE_perp,epsilon_RE_full,normal_velocity_fraction,mesh_cv_plus,mesh_cv_minus,mesh_edge_ratio_plus,mesh_edge_ratio_minus,adaptive_reparams_plus,adaptive_reparams_minus,dt_hat_min,dt_hat_max,n_steps,normalization_L_hat,normalization_Gamma_hat,core_fraction_hat,matched_energy_frequency_same_frozen_mode,temporal_frequency_rel_change,temporal_frequency_resolved
Q_760d7213cb135987,C_eae9dbe21a29,OK,,128,0.004,1.1175814990707849e-05,2.0,5.587907495353924e-06,True,1.44,9.047786842338605,3,0.1,False,True,RESOLVED,0,1.0,5.555555555555555,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_fb81dd73b06894a6,C_e9b81b133ece,OK,,64,0.006,2.5139526910613212e-05,2.0,1.2569763455306606e-05,True,1.2230400000000001,7.684586958092922,3,0.1,False,True,RESOLVED,0,1.0,6.541077969649398,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_1a3fb5a6d4ab4aa6,C_e91c7e8f0ad8,OK,,96,0.004,1.1276139814539497e-05,2.0,5.638069907269748e-06,True,1.332672,8.373425129689634,3,0.1,False,True,RESOLVED,0,1.0,6.002977476828507,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_af15270a02d0719e,C_e91c7e8f0ad8,OK,,96,0.002,2.8241299106901324e-06,2.0,1.4120649553450662e-06,True,1.332672,8.373425129689634,3,0.1,False,True,RESOLVED,0,1.0,6.002977476828507,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_4943e5be3af80245,C_e9b81b133ece,OK,,96,0.004,1.1184629080631393e-05,2.0,5.592314540315696e-06,True,1.21152,7.612204663354212,3,0.1,False,True,RESOLVED,0,1.0,6.603275224511358,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_19554fb9b8dc9116,C_eae9dbe21a29,OK,,128,0.002,2.808011364452445e-06,2.0,1.4040056822262225e-06,True,1.44,9.047786842338605,3,0.1,False,True,RESOLVED,0,1.0,5.555555555555555,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_fe4f8fd9325c5974,C_a1d289936347,OK,,128,0.003,6.305199813386007e-06,2.0,3.1525999066930034e-06,True,1.56,9.801769079200154,3,0.1,False,True,RESOLVED,0,1.0,5.128205128205128,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_1ac9f87ed9f98670,C_e9b81b133ece,OK,,128,0.002,2.7930751461016747e-06,2.0,1.3965375730508374e-06,True,1.2,7.5398223686155035,3,0.1,False,True,RESOLVED,0,1.0,6.666666666666667,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_6bffeb31a5825e80,C_eae9dbe21a29,OK,,96,0.006,2.5285863109935258e-05,2.0,1.2642931554967629e-05,True,1.453824,9.134645596025054,3,0.1,False,True,RESOLVED,0,1.0,5.502729353759465,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_432e129d578e5ae6,C_e91c7e8f0ad8,OK,,96,0.003,6.321033261781968e-06,2.0,3.160516630890984e-06,True,1.332672,8.373425129689634,3,0.1,False,True,RESOLVED,0,1.0,6.002977476828507,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_7771c4805d8fd9d5,C_a1d289936347,OK,,128,0.002,2.7973925106980596e-06,2.0,1.3986962553490298e-06,True,1.56,9.801769079200154,3,0.1,False,True,RESOLVED,0,1.0,5.128205128205128,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_94f6a5c834cfbab1,C_a1d289936347,OK,,128,0.004,1.1178279389923195e-05,2.0,5.589139694961597e-06,True,1.56,9.801769079200154,3,0.1,False,True,RESOLVED,0,1.0,5.128205128205128,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_d98d505d892b3cc7,C_e91c7e8f0ad8,OK,,128,0.002,2.792588851065694e-06,2.0,1.396294425532847e-06,True,1.32,8.293804605477055,3,0.1,False,True,RESOLVED,0,1.0,6.0606060606060606,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_7fa1058308d0dc84,C_e9b81b133ece,OK,,64,0.002,2.7797673723454144e-06,2.0,1.3898836861727072e-06,True,1.2230400000000001,7.684586958092922,3,0.1,False,True,RESOLVED,0,1.0,6.541077969649398,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_60f09f01966eb121,C_e9b81b133ece,OK,,96,0.003,6.302081540897693e-06,2.0,3.1510407704488464e-06,True,1.21152,7.612204663354212,3,0.1,False,True,RESOLVED,0,1.0,6.603275224511358,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_2ef0984edd5d754e,C_a1d289936347,OK,,64,0.006,2.54039112494454e-05,2.0,1.27019556247227e-05,True,1.5899520000000003,9.989963045520799,3,0.1,False,True,RESOLVED,0,1.0,5.031598438191844,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_bbb2bb7f12f08541,C_e91c7e8f0ad8,OK,,64,0.003,6.326844800078213e-06,2.0,3.1634224000391067e-06,True,1.345344,8.453045653902214,3,0.1,False,True,RESOLVED,0,1.0,5.946434517863089,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_06f36053347b86f7,C_e9b81b133ece,OK,,96,0.002,2.8135363069602622e-06,2.0,1.4067681534801311e-06,True,1.21152,7.612204663354212,3,0.1,False,True,RESOLVED,0,1.0,6.603275224511358,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_3ae76b17ce7c9be7,C_e9b81b133ece,OK,,64,0.004,1.1184424858398386e-05,2.0,5.592212429199193e-06,True,1.2230400000000001,7.684586958092922,3,0.1,False,True,RESOLVED,0,1.0,6.541077969649398,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_1e09eecf1a37a9cd,C_a1d289936347,OK,,64,0.002,2.7985095117069763e-06,2.0,1.3992547558534882e-06,True,1.5899520000000003,9.989963045520799,3,0.1,False,True,RESOLVED,0,1.0,5.031598438191844,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_8145c97f6d2f33c9,C_eae9dbe21a29,OK,,64,0.003,6.326070079716891e-06,2.0,3.1630350398584456e-06,True,1.467648,9.221504349711505,3,0.1,False,True,RESOLVED,0,1.0,5.450898308041165,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_c67cb96bad8321aa,C_e9b81b133ece,OK,,128,0.003,6.2602148799062804e-06,2.0,3.1301074399531402e-06,True,1.2,7.5398223686155035,3,0.1,False,True,RESOLVED,0,1.0,6.666666666666667,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_612157579c598bf6,C_e91c7e8f0ad8,OK,,64,0.002,2.8092183466123985e-06,2.0,1.4046091733061992e-06,True,1.345344,8.453045653902214,3,0.1,False,True,RESOLVED,0,1.0,5.946434517863089,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_81c1389a0b7efc5c,C_a1d289936347,OK,,64,0.004,1.1248926198325937e-05,2.0,5.6244630991629685e-06,True,1.5899520000000003,9.989963045520799,3,0.1,False,True,RESOLVED,0,1.0,5.031598438191844,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_73c510506c828743,C_eae9dbe21a29,OK,,96,0.002,2.8337916258386095e-06,2.0,1.4168958129193048e-06,True,1.453824,9.134645596025054,3,0.1,False,True,RESOLVED,0,1.0,5.502729353759465,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_6713e7ede755113b,C_e91c7e8f0ad8,OK,,128,0.004,1.1205952976569846e-05,2.0,5.602976488284923e-06,True,1.32,8.293804605477055,3,0.1,False,True,RESOLVED,0,1.0,6.0606060606060606,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_3811e9390b5a96ec,C_eae9dbe21a29,OK,,128,0.003,6.320464003641881e-06,2.0,3.1602320018209407e-06,True,1.44,9.047786842338605,3,0.1,False,True,RESOLVED,0,1.0,5.555555555555555,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_71cb8b613f17db4f,C_a1d289936347,OK,,96,0.006,2.5118668865914897e-05,2.0,1.2559334432957448e-05,True,1.5749760000000002,9.895866062360477,3,0.1,False,True,RESOLVED,0,1.0,5.079442480393351,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_4f9bfc7d2e9cc5b1,C_a1d289936347,OK,,64,0.003,6.290336980669135e-06,2.0,3.1451684903345677e-06,True,1.5899520000000003,9.989963045520799,3,0.1,False,True,RESOLVED,0,1.0,5.031598438191844,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_1e45f9c5fc4f056e,C_e9b81b133ece,OK,,96,0.006,2.5427142385431007e-05,2.0,1.2713571192715503e-05,True,1.21152,7.612204663354212,3,0.1,False,True,RESOLVED,0,1.0,6.603275224511358,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_f358555719d5379c,C_e9b81b133ece,OK,,128,0.004,1.1123041025280082e-05,2.0,5.561520512640041e-06,True,1.2,7.5398223686155035,3,0.1,False,True,RESOLVED,0,1.0,6.666666666666667,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_2b13e446bd7c2507,C_eae9dbe21a29,OK,,64,0.002,2.8288482980009305e-06,2.0,1.4144241490004652e-06,True,1.467648,9.221504349711505,3,0.1,False,True,RESOLVED,0,1.0,5.450898308041165,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_368423e923b1ee28,C_eae9dbe21a29,OK,,128,0.006,2.5147957416647873e-05,2.0,1.2573978708323936e-05,True,1.44,9.047786842338605,3,0.1,False,True,RESOLVED,0,1.0,5.555555555555555,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_bedcbf515c6cc2f7,C_a1d289936347,OK,,96,0.004,1.1147502861565605e-05,2.0,5.5737514307828025e-06,True,1.5749760000000002,9.895866062360477,3,0.1,False,True,RESOLVED,0,1.0,5.079442480393351,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_f9b5f52e9a611db1,C_e91c7e8f0ad8,OK,,128,0.006,2.5179582278708357e-05,2.0,1.2589791139354179e-05,True,1.32,8.293804605477055,3,0.1,False,True,RESOLVED,0,1.0,6.0606060606060606,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
